loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,loan_status
3000,3000, 36 months,11.99,99.63,C,C1,1
2400,2400, 36 months,14.64,82.78,C,C3,1
16000,16000, 36 months,11.67,528.92,B,B4,1
24000,24000, 36 months,6.49,735.47,A,A2,1
1000,1000, 36 months,9.17,31.88,B,B2,1
23500,23500, 60 months,18.55,603.8,E,E2,1
8000,8000, 36 months,7.35,248.3,A,A4,1
8675,8675, 36 months,10.99,283.97,B,B3,1
10000,10000, 36 months,11.99,332.1,C,C1,1
24600,24600, 36 months,17.57,884.06,D,D4,1
7700,7700, 36 months,8.18,241.93,B,B1,1
14450,14450, 36 months,14.99,500.85,C,C5,1
20000,20000, 36 months,6.24,610.62,A,A2,1
6000,6000, 36 months,25.69,240.76,F,F1,1
13000,13000, 36 months,7.97,407.2,A,A5,1
22000,22000, 60 months,9.44,461.4,B,B1,1
20000,20000, 36 months,9.99,645.25,B,B3,1
11200,11200, 60 months,15.61,270.05,D,D1,1
8000,8000, 36 months,7.66,249.44,A,A5,1
10000,10000, 36 months,14.08,342.17,C,C3,1
5600,5600, 36 months,19.99,208.09,D,D4,1
4300,4300, 36 months,19.53,158.78,D,D5,1
5000,5000, 36 months,18.99,183.26,D,D3,1
22000,22000, 60 months,24.85,643.8,E,E3,1
5000,5000, 36 months,12.59,167.49,C,C2,1
15000,15000, 36 months,10.16,485.14,B,B1,1
7000,7000, 36 months,12.29,233.48,C,C1,1
14375,14375, 60 months,20.2,382.46,E,E3,1
23400,23400, 36 months,12.99,788.33,B,B4,1
5275,5275, 36 months,16.55,186.89,D,D2,1
14500,14500, 60 months,9.49,304.46,B,B2,1
8000,8000, 36 months,9.17,255.04,B,B2,1
10000,10000, 36 months,14.09,342.22,B,B5,1
24000,24000, 36 months,11.53,791.77,B,B5,1
26750,26750, 36 months,18.99,980.42,D,D3,1
20000,20000, 36 months,11.53,659.81,B,B5,1
6000,6000, 36 months,13.49,203.59,C,C2,1
11600,11600, 36 months,9.17,369.8,B,B2,1
11900,11900, 36 months,14.33,408.63,C,C5,1
5500,5500, 36 months,7.99,172.33,A,A4,1
9000,9000, 36 months,8.9,285.78,A,A5,1
5450,5450, 36 months,5.32,164.13,A,A1,1
17000,11475, 60 months,11.49,252.31,B,B4,1
5500,5500, 36 months,12.39,183.71,C,C1,1
35000,35000, 36 months,9.8,1126.07,B,B3,1
20000,20000, 36 months,12.69,670.9,C,C2,1
22000,22000, 36 months,12.79,739.05,C,C1,1
32000,32000, 36 months,6.07,974.52,A,A2,1
7200,7200, 36 months,9.17,229.53,B,B1,1
15000,15000, 36 months,5.32,451.73,A,A1,1
7500,7500, 36 months,8.9,238.15,A,A5,1
14000,14000, 36 months,8.18,439.88,B,B1,1
18000,18000, 60 months,7.39,359.75,A,A4,1
3000,3000, 36 months,16.29,105.91,D,D1,1
13000,13000, 36 months,5.32,391.5,A,A1,1
2800,2800, 36 months,7.91,87.63,A,A5,1
24000,24000, 60 months,20.2,638.53,D,D5,1
5800,5800, 36 months,17.86,209.28,D,D5,1
9600,9600, 36 months,11.14,314.93,B,B2,1
29325,29325, 36 months,6.89,904,A,A3,1
23575,23575, 36 months,6.62,723.84,A,A2,1
21000,21000, 60 months,25.8,626.27,G,G1,1
8650,8650, 36 months,14.16,296.31,C,C2,1
16000,16000, 60 months,11.44,351.4,B,B4,1
10000,10000, 36 months,6.62,307.04,A,A2,1
12000,12000, 36 months,8.9,381.04,A,A5,1
5000,5000, 36 months,11.99,166.05,C,C1,1
19800,19800, 36 months,19.19,727.7,E,E3,1
8000,8000, 36 months,21.7,304.29,E,E2,1
2000,2000, 36 months,14.31,68.66,C,C4,1
35000,35000, 36 months,14.3,1201.33,C,C1,1
6000,6000, 36 months,11.99,199.26,C,C1,1
11200,11200, 60 months,24.5,325.46,F,F3,1
13000,13000, 60 months,12.29,291.09,C,C1,1
12000,12000, 36 months,12.59,401.97,C,C2,1
16000,16000, 36 months,15.61,559.44,D,D1,1
9600,9600, 36 months,7.91,300.44,A,A5,1
12000,12000, 36 months,12.12,399.26,B,B3,1
3000,3000, 36 months,20.2,111.8,E,E3,1
5000,5000, 36 months,11.99,166.05,C,C1,1
33950,33950, 60 months,24.89,994.29,G,G3,1
12000,12000, 60 months,16.49,294.96,D,D3,1
8500,8500, 36 months,11.22,279.17,B,B5,1
15050,15050, 36 months,13.65,511.82,C,C1,1
20000,20000, 36 months,8.19,628.49,A,A5,1
11000,11000, 60 months,13.33,252.15,C,C3,1
2000,2000, 36 months,16.29,70.61,D,D1,1
6175,6175, 36 months,13.35,209.11,C,C2,1
2100,2100, 36 months,6.76,64.62,A,A2,1
34500,34500, 36 months,16.29,1217.87,D,D1,1
8000,8000, 36 months,6.49,245.16,A,A2,1
28000,28000, 36 months,6.49,858.05,A,A2,1
6500,6500, 36 months,12.99,218.98,C,C2,1
4500,4500, 36 months,11.44,148.27,B,B4,1
8000,8000, 36 months,6.03,243.49,A,A1,1
20000,20000, 36 months,6.92,616.82,A,A4,1
10000,10000, 36 months,16.99,356.48,D,D1,1
16000,16000, 36 months,9.71,514.1,B,B1,1
21250,21250, 36 months,15.95,746.57,D,D4,1
12000,12000, 36 months,12.42,400.99,B,B4,1
10000,10000, 36 months,5.32,301.15,A,A1,1
10000,10000, 36 months,5.32,301.15,A,A1,1
25525,25525, 36 months,14.65,880.47,C,C5,1
24000,24000, 60 months,11.44,527.1,B,B4,1
21600,21600, 60 months,23.32,612.9,E,E3,1
15475,15475, 60 months,13.99,360,C,C3,1
24000,24000, 36 months,5.93,729.37,A,A1,1
30000,30000, 36 months,9.99,967.88,B,B3,1
30000,30000, 36 months,11.99,996.29,B,B3,1
4000,4000, 36 months,10.78,130.54,B,B4,1
9500,9500, 36 months,7.9,297.26,A,A4,1
5000,5000, 36 months,14.65,172.48,C,C5,1
21000,21000, 36 months,7.35,651.79,A,A4,1
4500,4500, 36 months,16.99,160.42,D,D3,1
16000,16000, 36 months,16.59,567.19,D,D1,1
10000,10000, 36 months,13.99,341.73,C,C3,1
20000,20000, 60 months,18.99,518.71,D,D4,1
25000,25000, 36 months,14.09,855.54,B,B5,1
6225,6225, 36 months,15.31,216.74,C,C4,1
8000,8000, 36 months,7.07,247.28,A,A2,1
25000,25000, 60 months,17.97,634.43,D,D1,1
15000,15000, 36 months,6.67,460.9,A,A2,1
5125,5125, 36 months,17.57,184.18,D,D4,1
14400,14400, 36 months,9.44,460.88,B,B1,1
2400,2400, 36 months,11.53,79.18,B,B5,1
10425,10425, 36 months,10.99,341.26,B,B4,1
9700,9700, 36 months,17.99,350.63,D,D2,1
2800,2800, 36 months,15.31,97.49,D,D3,1
6500,6500, 36 months,17.57,233.6,D,D4,1
15000,15000, 36 months,15.31,522.26,C,C3,1
11200,11200, 60 months,18.55,287.77,E,E2,1
4000,4000, 36 months,7.49,124.41,A,A4,1
18000,18000, 60 months,12.99,409.47,C,C1,1
6000,6000, 36 months,6.49,183.87,A,A2,1
8500,8500, 36 months,5.32,255.98,A,A1,1
15000,15000, 36 months,12.12,499.08,B,B3,1
20000,20000, 36 months,10.15,646.76,B,B2,1
10000,10000, 36 months,9.16,318.75,B,B2,1
20000,20000, 36 months,8.9,635.07,A,A5,1
13800,13800, 36 months,10.99,451.73,B,B3,1
28000,28000, 60 months,10.99,608.65,B,B4,1
4500,4500, 36 months,14.52,154.94,C,C3,1
9000,9000, 36 months,9.76,289.4,B,B1,1
20000,20000, 60 months,21.97,552.04,E,E5,1
7250,7250, 36 months,16.99,258.45,D,D3,1
35000,35000, 36 months,13.99,1196.05,C,C4,1
4000,4000, 36 months,7.21,123.9,A,A3,1
20000,20000, 36 months,8.39,630.34,A,A5,1
10000,10000, 36 months,8.19,314.25,A,A5,1
7000,3800, 36 months,10.08,122.76,B,B3,1
19000,19000, 36 months,12.99,640.1,B,B4,1
7000,7000, 36 months,5.93,212.74,A,A1,1
8000,8000, 36 months,14.99,277.29,C,C4,1
2000,2000, 36 months,10.99,65.47,B,B4,1
7800,7800, 36 months,19.19,286.67,E,E3,1
20000,20000, 36 months,9.16,637.49,B,B2,1
17000,17000, 60 months,12.99,386.72,C,C2,1
14000,14000, 36 months,6.24,427.44,A,A2,1
36725,36725, 36 months,9.49,1176.24,B,B2,1
7000,7000, 36 months,7.21,216.82,A,A3,1
23075,23075, 36 months,14.49,794.16,C,C4,1
5000,5000, 36 months,13.11,168.74,B,B4,1
10000,10000, 36 months,6.71,307.45,A,A3,1
18000,18000, 36 months,11.55,594,B,B3,1
35000,35000, 36 months,24.33,1379.23,G,G2,1
14125,14125, 60 months,15.88,342.6,C,C4,1
10000,10000, 36 months,10.15,323.38,B,B2,1
8000,8000, 36 months,10.99,261.88,B,B3,1
30000,30000, 60 months,12.42,673.72,B,B4,1
18000,18000, 36 months,10.75,587.17,B,B4,1
7000,7000, 36 months,10.99,229.14,B,B4,1
6300,6300, 36 months,7.34,195.51,A,A4,1
10500,10500, 36 months,11.99,348.71,C,C1,1
14000,14000, 36 months,16.99,499.07,D,D1,1
9000,9000, 36 months,8.18,282.78,B,B1,1
15000,15000, 36 months,17.99,542.22,D,D2,1
